uf,ano,mes,indice_uv,temperatura_media_2m
RR,2018,8,2.4193548387096775,26.028709677419354
RR,2018,9,2.2903333333333333,26.28
RR,2018,10,2.3670967741935485,27.184193548387096
RR,2018,11,2.0456666666666665,28.655666666666665
RR,2018,12,2.0761290322580646,29.176774193548386
RR,2019,1,2.1770967741935485,30.956129032258065
RR,2019,2,2.2817857142857143,31.761785714285715
RR,2019,3,2.4629032258064516,32.590645161290325
RR,2019,4,2.2226666666666666,30.742333333333335
RR,2019,5,1.8229032258064517,25.831612903225807
RR,2019,6,1.9313333333333333,25.911333333333335
RR,2019,7,2.103548387096774,25.460322580645162
RR,2019,8,2.15,25.608709677419355
RR,2019,9,2.4153333333333333,26.170666666666666
RR,2019,10,2.3261290322580646,26.11225806451613
RR,2019,11,2.086333333333333,26.257333333333335
RR,2019,12,2.0851612903225805,26.666129032258066
RR,2020,1,2.351935483870968,28.99225806451613
RR,2020,2,2.456551724137931,31.256551724137932
RR,2020,3,2.503548387096774,32.2341935483871
RR,2020,4,2.2603333333333335,28.106666666666666
RR,2020,5,2.0038709677419355,25.70193548387097
RR,2020,6,1.8556666666666666,25.118333333333332
RR,2020,7,2.1025806451612903,25.379677419354838
RR,2020,8,2.0606451612903225,26.199354838709677
RR,2020,9,2.6346666666666665,26.647666666666666
RR,2020,10,2.3638709677419354,26.244193548387095
RR,2020,11,2.002,26.185333333333332
RR,2020,12,2.068709677419355,27.535806451612903
RR,2021,1,2.1258064516129034,27.141612903225806
RR,2021,2,2.5017857142857145,29.30392857142857
RR,2021,3,2.2280645161290322,28.225483870967743
RR,2021,4,2.081,25.75
RR,2021,5,1.9222580645161291,25.399677419354838
RR,2021,6,1.9773333333333334,25.253666666666668
RR,2021,7,1.9296774193548387,25.21677419354839
RR,2021,8,2.2396774193548388,25.70967741935484
RR,2021,9,2.429333333333333,26.214333333333332
RR,2021,10,2.3751612903225805,26.43967741935484
RR,2021,11,2.275,26.197333333333333
RR,2021,12,2.083548387096774,26.785806451612903
RR,2022,1,2.3235483870967744,28.106129032258064
RR,2022,2,2.197142857142857,28.290714285714287
RR,2022,3,2.3406451612903227,26.909354838709678
RR,2022,4,2.3273333333333333,26.057333333333332
RR,2022,5,1.975483870967742,25.42258064516129
RR,2022,6,1.796,24.876666666666665
RR,2022,7,1.842258064516129,25.475483870967743
RR,2022,8,2.150967741935484,25.810645161290324
RR,2022,9,2.1443333333333334,26.225666666666665
RR,2022,10,2.086451612903226,26.041290322580647
RR,2022,11,1.797,25.71666666666667
RR,2022,12,1.9854838709677418,25.34741935483871
RR,2023,1,1.9674193548387096,24.875806451612902
RR,2023,2,1.98,26.678214285714287
RR,2023,3,2.2206451612903226,28.519354838709678
RR,2023,4,2.063,27.857666666666667
RR,2023,5,1.994516129032258,26.318709677419353
RR,2023,6,1.7763333333333333,26.038333333333334
RR,2023,7,1.9519354838709677,25.97483870967742
RR,2023,8,2.452258064516129,27.091290322580644
RR,2023,9,2.4736666666666665,28.577333333333332
RR,2023,10,2.39,30.896451612903228
RR,2023,11,2.2216666666666667,31.617666666666665
RR,2023,12,2.240322580645161,31.590967741935483
RS,2000,1,NA,23.75774193548387
RS,2000,2,NA,23.35793103448276
RS,2000,3,NA,21.349354838709676
RS,2000,4,NA,19.351
RS,2000,5,NA,14.667096774193547
RS,2000,6,NA,14.742333333333333
RS,2000,7,NA,9.795483870967741
RS,2000,8,NA,13.175806451612903
RS,2000,9,NA,15.177
RS,2000,10,NA,18.774193548387096
RS,2000,11,NA,19.027666666666665
RS,2000,12,NA,21.881290322580647
RS,2001,1,2.3541935483870966,23.12451612903226
RS,2001,2,2.257142857142857,23.559642857142858
RS,2001,3,1.9009677419354838,22.941935483870967
RS,2001,4,1.1353333333333333,19.212
RS,2001,5,0.7361290322580645,14.054516129032258
RS,2001,6,0.504,13.649666666666667
RS,2001,7,0.5054838709677419,13.308709677419355
RS,2001,8,0.8206451612903226,16.60516129032258
RS,2001,9,1.0393333333333334,16.176333333333332
RS,2001,10,1.8067741935483872,18.97225806451613
RS,2001,11,2.251333333333333,20.159333333333333
RS,2001,12,2.6461290322580644,21.123225806451615
RS,2002,1,2.583548387096774,22.571612903225805
RS,2002,2,2.4264285714285716,21.5975
RS,2002,3,1.758709677419355,24.33258064516129
RS,2002,4,1.2023333333333333,19.31
RS,2002,5,0.7064516129032258,16.82225806451613
RS,2002,6,0.5336666666666666,12.476333333333333
RS,2002,7,0.4974193548387097,12.196774193548388
RS,2002,8,0.7593548387096775,14.691290322580645
RS,2002,9,1.1346666666666667,14.441333333333333
RS,2002,10,1.2580645161290323,20.34967741935484
RS,2002,11,2.0303333333333335,20.417666666666666
RS,2002,12,2.338709677419355,21.815483870967743
RS,2003,1,2.8845161290322583,22.72064516129032
RS,2003,2,2.2117857142857145,22.874642857142856
RS,2003,3,1.7490322580645161,21.439032258064515
RS,2003,4,1.188,17.56
RS,2003,5,0.8,14.892903225806451
RS,2003,6,0.467,14.947
RS,2003,7,0.4964516129032258,12.55967741935484
RS,2003,8,0.8890322580645161,11.845161290322581
RS,2003,9,1.193,14.886333333333333
RS,2003,10,1.843225806451613,18.510645161290324
RS,2003,11,2.1896666666666667,19.766
RS,2003,12,2.4148387096774195,20.568387096774195
RS,2004,1,2.846774193548387,22.81032258064516
RS,2004,2,2.5155172413793103,21.275517241379312
RS,2004,3,1.9638709677419355,21.821612903225805
RS,2004,4,1.3273333333333333,20.985
RS,2004,5,0.6825806451612904,13.909032258064517
RS,2004,6,0.5263333333333333,14.684
RS,2004,7,0.6154838709677419,11.651935483870968
RS,2004,8,0.9335483870967742,14.151612903225807
RS,2004,9,1.0263333333333333,17.208333333333332
RS,2004,10,2.0248387096774194,17.273548387096774
RS,2004,11,2.236,19.826
RS,2004,12,2.724838709677419,22.188387096774193
RS,2005,1,2.9283870967741934,25.16
RS,2005,2,2.420714285714286,24.500714285714285
RS,2005,3,2.015806451612903,23.578709677419354
RS,2005,4,1.102,18.557
